source_rank,tld,source_status,server_adapter,whois_host,server_url,current_parser_class,parser_family,initial_coverage_state,resource_group,implementation_package
349,fyi,delegated,Standard,whois.nic.fyi,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.fyi,package-4
350,partners,delegated,Standard,whois.nic.partners,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.partners,package-4
351,corp,undelegated,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_undelegated,row:351,package-1
352,marketing,delegated,Standard,whois.nic.marketing,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.marketing,package-5
353,initplayback,undelegated,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_undelegated,row:353,package-2
354,engineering,delegated,Standard,whois.nic.engineering,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.engineering,package-5
355,box,delegated,Standard,whois.aridnrs.net.au,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.aridnrs.net.au,package-5
356,audio,delegated,Standard,whois.uniregistry.net,"",Whois::Parsers::WhoisUniregistryNet,BaseIcannCompliant,parser_present_unverified,family:BaseIcannCompliant,package-1
357,city,delegated,Standard,whois.nic.city,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.city,package-2
358,party,delegated,Standard,whois.nic.party,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.party,package-1
359,files,undelegated,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_undelegated,row:359,package-3
360,gd,delegated,Standard,whois.nic.gd,"",Whois::Parsers::WhoisNicGd,BaseShared3,parser_present_unverified,family:BaseShared3,package-4
361,love,delegated,Standard,whois.nic.love,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.love,package-3
362,pm,delegated,Standard,whois.nic.pm,"",Whois::Parsers::WhoisNicPm,BaseNicFr,parser_present_unverified,family:BaseNicFr,package-4
363,onion,special-use,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_special_use,row:363,package-4
364,pet,delegated,Standard,whois.afilias.net,"",Whois::Parsers::WhoisAfiliasNet,BaseAfilias2,parser_present_unverified,family:BaseAfilias2,package-2
365,localhost,special-use,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_special_use,row:365,package-5
366,monster,delegated,Standard,whois.nic.monster,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.monster,package-3
367,money,delegated,Standard,whois.nic.money,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.money,package-2
368,cool,delegated,Standard,whois.nic.cool,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.cool,package-4
369,xn--p1ai,delegated,Standard,whois.tcinet.ru,"",Whois::Parsers::WhoisTcinetRu,Base,parser_present_unverified,family:Base,package-4
370,inc,delegated,Standard,whois.nic.inc,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.inc,package-5
371,qpon,delegated,None,"","",Whois::Parsers::Blank,Blank,adapter_none_excluded,row:371,package-1
372,land,delegated,Standard,whois.nic.land,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.land,package-4
373,watch,delegated,Standard,whois.nic.watch,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.watch,package-1
374,gs,delegated,Standard,whois.nic.gs,"",Whois::Parsers::WhoisNicGs,BaseCocca2,parser_present_unverified,family:BaseCocca2,package-5
375,test,special-use,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_special_use,row:375,package-2
376,express,delegated,Standard,whois.nic.express,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.express,package-4
377,energy,delegated,Standard,whois.nic.energy,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.energy,package-3
378,ax,delegated,Standard,whois.ax,"",Whois::Parsers::WhoisAx,Base,parser_present_unverified,family:Base,package-4
379,llc,delegated,Standard,whois.afilias.net,"",Whois::Parsers::WhoisAfiliasNet,BaseAfilias2,parser_present_unverified,family:BaseAfilias2,package-2
380,trade,delegated,Standard,whois.nic.trade,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.trade,package-5
381,international,delegated,Standard,whois.nic.international,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.international,package-4
382,show,delegated,Standard,whois.nic.show,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.show,package-5
383,exchange,delegated,Standard,whois.nic.exchange,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.exchange,package-1
384,eus,delegated,Standard,whois.nic.eus,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.eus,package-4
385,rest,delegated,Standard,whois.nic.rest,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.rest,package-3
386,education,delegated,Standard,whois.nic.education,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.education,package-2
387,tel,delegated,Standard,whois.nic.tel,"",Whois::Parsers::WhoisNicTel,BaseShared2,parser_present_unverified,family:BaseShared2,package-5
388,gold,delegated,Standard,whois.nic.gold,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.gold,package-5
389,nexus,delegated,Standard,whois.nic.google,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.google,package-3
390,beer,delegated,Standard,whois.nic.beer,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.beer,package-2
391,casino,delegated,Standard,whois.nic.casino,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.casino,package-5
392,dog,delegated,Standard,whois.nic.dog,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.dog,package-3
393,press,delegated,Standard,whois.nic.press,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.press,package-5
394,fan,delegated,Standard,whois.nic.fan,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.fan,package-3
395,house,delegated,Standard,whois.nic.house,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.house,package-2
396,expert,delegated,Standard,whois.nic.expert,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.expert,package-2
397,cafe,delegated,Standard,whois.nic.cafe,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.cafe,package-2
398,cash,delegated,Standard,whois.nic.cash,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.cash,package-4
399,tf,delegated,Standard,whois.nic.fr,"",Whois::Parsers::WhoisNicFr,BaseNicFr,parser_present_unverified,family:BaseNicFr,package-4
400,community,delegated,Standard,whois.nic.community,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.community,package-5
401,jobs,delegated,Verisign,whois.nic.jobs,"",Whois::Parsers::WhoisNicJobs,BaseVerisign,parser_present_unverified,family:BaseVerisign,package-2
402,homes,delegated,Standard,whois.afilias-srs.net,"",Whois::Parsers::WhoisAfiliasSrsNet,BaseIcannCompliant,parser_present_unverified,family:BaseIcannCompliant,package-1
403,mp,delegated,None,"","",Whois::Parsers::Blank,Blank,adapter_none_excluded,row:403,package-3
404,tokyo,delegated,Standard,whois.nic.tokyo,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.tokyo,package-5
405,mo,delegated,Standard,whois.monic.mo,"",Whois::Parsers::WhoisMonicMo,Base,parser_present_unverified,family:Base,package-4
406,bot,delegated,Standard,whois.nic.bot,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.bot,package-4
407,vision,delegated,Standard,whois.nic.vision,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.vision,package-1
408,sx,delegated,Standard,whois.sx,"",Whois::Parsers::WhoisSx,Base,parser_present_unverified,family:Base,package-4
409,uno,delegated,Standard,whois.nic.uno,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.uno,package-4
410,quest,delegated,Standard,whois.nic.quest,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.quest,package-4
411,garden,delegated,Standard,whois.nic.garden,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.garden,package-2
412,now,delegated,Standard,whois.nic.now,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.now,package-2
413,microsoftofficehub,undelegated,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_undelegated,row:413,package-4
414,blue,delegated,Standard,whois.afilias.net,"",Whois::Parsers::WhoisAfiliasNet,BaseAfilias2,parser_present_unverified,family:BaseAfilias2,package-2
415,sy,delegated,Standard,whois.tld.sy,"",Whois::Parsers::WhoisTldSy,BaseCocca2,parser_present_unverified,family:BaseCocca2,package-5
416,undefined,undelegated,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_undelegated,row:416,package-5
417,photos,delegated,Standard,whois.nic.photos,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.photos,package-4
418,swiss,delegated,Standard,whois.nic.swiss,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.swiss,package-5
419,bar,delegated,Standard,whois.nic.bar,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.bar,package-3
420,bond,delegated,Standard,whois.nic.bond,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.bond,package-2
421,family,delegated,Standard,whois.nic.family,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.family,package-2
422,foundation,delegated,Standard,whois.nic.foundation,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.foundation,package-2
423,bike,delegated,Standard,whois.nic.bike,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.bike,package-2
424,pizza,delegated,Standard,whois.nic.pizza,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.pizza,package-2
425,mom,delegated,Standard,whois.uniregistry.net,"",Whois::Parsers::WhoisUniregistryNet,BaseIcannCompliant,parser_present_unverified,family:BaseIcannCompliant,package-1
426,earth,delegated,None,"","",Whois::Parsers::Blank,Blank,adapter_none_excluded,row:426,package-1
427,army,delegated,Standard,whois.nic.army,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.army,package-3
428,school,delegated,Standard,whois.nic.school,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.school,package-1
429,xin,delegated,Standard,whois.nic.xin,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.xin,package-3
430,rip,delegated,Standard,whois.nic.rip,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.rip,package-2
431,autos,delegated,Standard,whois.afilias.net,"",Whois::Parsers::WhoisAfiliasNet,BaseAfilias2,parser_present_unverified,family:BaseAfilias2,package-2
432,ooo,delegated,Standard,whois.nic.ooo,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.ooo,package-2
433,coffee,delegated,Standard,whois.nic.coffee,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.coffee,package-4
434,security,delegated,Standard,whois.nic.security,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.security,package-1
435,golf,delegated,Standard,whois.nic.golf,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.golf,package-1
436,download,delegated,Standard,whois.nic.download,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.download,package-4
437,tips,delegated,Standard,whois.nic.tips,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.tips,package-2
438,careers,delegated,Standard,whois.nic.careers,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.careers,package-2
439,capital,delegated,Standard,whois.nic.capital,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.capital,package-3
440,scot,delegated,Standard,whois.nic.scot,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.scot,package-5
441,berlin,delegated,Standard,whois.nic.berlin,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.berlin,package-3
442,porn,delegated,Standard,whois.afilias-srs.net,"",Whois::Parsers::WhoisAfiliasSrsNet,BaseIcannCompliant,parser_present_unverified,family:BaseIcannCompliant,package-1
443,guide,delegated,Standard,whois.nic.guide,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.guide,package-1
444,farm,delegated,Standard,whois.nic.farm,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.farm,package-5
445,sap,delegated,Standard,whois.nic.sap,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.sap,package-3
446,boo,delegated,Standard,whois.nic.google,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.google,package-3
447,church,delegated,Standard,whois.nic.church,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.church,package-1
448,baby,delegated,Standard,whois.nic.baby,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.baby,package-4
449,place,delegated,Standard,whois.nic.place,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.place,package-3
450,nyc,delegated,Standard,whois.nic.nyc,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.nyc,package-4
451,tube,delegated,None,"","",Whois::Parsers::Blank,Blank,adapter_none_excluded,row:451,package-2
452,legal,delegated,Standard,whois.nic.legal,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.legal,package-4
453,fans,delegated,Standard,whois.nic.fans,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.fans,package-4
454,gallery,delegated,Standard,whois.nic.gallery,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.gallery,package-1
455,photo,delegated,Standard,whois.uniregistry.net,"",Whois::Parsers::WhoisUniregistryNet,BaseIcannCompliant,parser_present_unverified,family:BaseIcannCompliant,package-1
456,skin,delegated,Standard,whois.nic.skin,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.skin,package-2
457,gq,delegated,Standard,whois.dominio.gq,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.dominio.gq,package-2
458,zip,delegated,Standard,whois.nic.google,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.google,package-3
459,wang,delegated,Standard,whois.gtld.knet.cn,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.gtld.knet.cn,package-5
460,free,delegated,Standard,whois.nic.free,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.free,package-4
461,nrw,delegated,Standard,whois.nic.nrw,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.nrw,package-3
462,cab,delegated,Standard,whois.nic.cab,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.cab,package-5
463,beauty,delegated,Standard,whois.nic.beauty,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.beauty,package-5
464,surf,delegated,Standard,whois.nic.surf,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.surf,package-3
465,dummy,undelegated,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_undelegated,row:465,package-3
466,science,delegated,Standard,whois.nic.science,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.science,package-4
467,cards,delegated,Standard,whois.nic.cards,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.cards,package-4
468,law,delegated,Standard,whois.nic.law,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.law,package-1
469,con,undelegated,Unmapped,"","",Whois::Parsers::Blank,Blank,excluded_undelegated,row:469,package-4
470,gmbh,delegated,Standard,whois.nic.gmbh,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.gmbh,package-4
471,sale,delegated,Standard,whois.nic.sale,"",Whois::Parsers::Blank,Blank,parser_missing,host:whois.nic.sale,package-1
